"","Ti","Yi","Di","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"186",64,54,1,-0.443276798935021,1.03098618111335,0.694781112065389,-0.469424837279207,0,0,0,0,1,0
"187",63,54,1,-0.412180684051203,-0.605856065232818,0.804615908239766,-0.139507684685408,0,0,0,0,0,1
"188",64,54,1,-0.546930515214412,-1.73400548314058,2.37811874908573,0.00202009035043559,0,1,1,0,0,1
"189",64,54,1,-1.88406345521856,-1.73400548314058,-1.27030665427184,-0.191451304610556,0,1,1,0,1,0
"190",64,54,1,1.36029786432639,-0.733029272342419,0.0668126035031886,0.956959039010779,1,1,0,1,0,1
"191",64,54,1,-2.19502460405674,-0.0971632367944108,-1.27030665427184,0.69868095202511,0,0,0,0,0,1
"192",55,54,1,0.479241275951565,-0.527911196359191,-0.245977794297755,0.068008916647047,0,1,0,1,1,0
"193",63,54,1,-2.02917865800971,-0.954556794404306,-1.27030665427184,0.956621305943699,0,1,1,0,0,1
"194",62,53,1,0.510337390835382,-0.117675044392734,2.04145122168166,0.423101010351136,0,1,0,1,1,0
"195",55,53,1,0.66581796525447,-0.954556794404306,0.205299955201316,0.0465086755906178,1,1,1,0,0,1
"196",64,54,1,0.717644823394165,-0.117675044392734,-1.10794217297058,-0.121347301736327,1,1,0,0,1,0
"197",61,53,1,0.0438956675781199,0.148978454385464,2.43064843421261,0.67207925232118,0,1,0,1,1,0
"198",63,53,1,0.613991107114774,-0.954556794404306,-0.322384609027757,0.00259007262670892,1,1,1,0,0,0
"199",63,53,1,1.0182406006044,-0.954556794404306,1.53048064817478,0.223077129865501,0,1,1,0,0,1
"200",63,53,1,-0.173777136608603,2.48732452059427,1.14367114860415,-0.665440716266246,0,0,0,0,0,1
"201",64,53,1,-2.17429386080086,-0.954556794404306,-1.27030665427184,-0.127610202628445,0,1,1,0,0,1
"202",63,53,1,0.572529620603017,-0.298178951257975,-0.50385079401151,0.810723792892738,1,1,0,0,1,0
"203",64,53,1,0.427414417811869,0.337687084290034,-0.0740624611552518,0.880096617544852,1,1,0,1,1,0
"204",64,53,1,0.603625735486835,-1.73400548314058,0.613598871414762,0.536962831964584,1,1,1,0,1,0
